Oilers,NHL,2944,1326,1215,0.519,21,5
Panthers,NHL,1820,737,768,0.491,5,0
Penguins,NHL,3882,1735,1640,0.512,32,5
Predators,NHL,1442,686,560,0.544,10,0
Rangers,NHL,6270,2753,2590,0.513,59,4
Red Wings,NHL,6270,2891,2419,0.538,64,11
Sabres,NHL,3656,1702,1415,0.539,29,0
Senators,NHL,1904,866,788,0.52,16,0
Sharks,NHL,1984,929,802,0.532,19,0
Stars,NHL,3882,1697,1601,0.512,31,1
Wild,NHL,1278,607,494,0.544,8,0
